Season_End_Year;Team;Rk;MP;W;D;L;GF;GA;GD;Pts
2019;Arsenal;5;38;21;7;10;73;51;22;70
2019;Bournemouth;14;38;13;6;19;56;70;-14;45
2019;Brighton;17;38;9;9;20;35;60;-25;36
2019;Burnley;15;38;11;7;20;45;68;-23;40
2019;Cardiff City;18;38;10;4;24;34;69;-35;34
2019;Chelsea;3;38;21;9;8;63;39;24;72
2019;Crystal Palace;12;38;14;7;17;51;53;-2;49
2019;Everton;8;38;15;9;14;54;46;8;54
2019;Fulham;19;38;7;5;26;34;81;-47;26
2019;Huddersfield;20;38;3;7;28;22;76;-54;16
2019;Leicester City;9;38;15;7;16;51;48;3;52
2019;Liverpool;2;38;30;7;1;89;22;67;97
2019;Manchester City;1;38;32;2;4;95;23;72;98
2019;Manchester Utd;6;38;19;9;10;65;54;11;66
2019;Newcastle Utd;13;38;12;9;17;42;48;-6;45
2019;Southampton;16;38;9;12;17;45;65;-20;39
2019;Tottenham;4;38;23;2;13;67;39;28;71
2019;Watford;11;38;14;8;16;52;59;-7;50
2019;West Ham;10;38;15;7;16;52;55;-3;52
2019;Wolves;7;38;16;9;13;47;46;1;57
2020;Arsenal;8;38;14;14;10;56;48;8;56
2020;Aston Villa;17;38;9;8;21;41;67;-26;35
2020;Bournemouth;18;38;9;7;22;40;65;-25;34
2020;Brighton;15;38;9;14;15;39;54;-15;41
2020;Burnley;10;38;15;9;14;43;50;-7;54
2020;Chelsea;4;38;20;6;12;69;54;15;66
2020;Crystal Palace;14;38;11;10;17;31;50;-19;43
2020;Everton;12;38;13;10;15;44;56;-12;49
2020;Leicester City;5;38;18;8;12;67;41;26;62
2020;Liverpool;1;38;32;3;3;85;33;52;99
2020;Manchester City;2;38;26;3;9;102;35;67;81
2020;Manchester Utd;3;38;18;12;8;66;36;30;66
2020;Newcastle Utd;13;38;11;11;16;38;58;-20;44
2020;Norwich City;20;38;5;6;27;26;75;-49;21
2020;Sheffield Utd;9;38;14;12;12;39;39;0;54
2020;Southampton;11;38;15;7;16;51;60;-9;52
2020;Tottenham;6;38;16;11;11;61;47;14;59
2020;Watford;19;38;8;10;20;36;64;-28;34
2020;West Ham;16;38;10;9;19;49;62;-13;39
2020;Wolves;7;38;15;14;9;51;40;11;59
2021;Arsenal;8;38;18;7;13;55;39;16;61
2021;Aston Villa;11;38;16;7;15;55;46;9;55
2021;Brighton;16;38;9;14;15;40;46;-6;41
2021;Burnley;17;38;10;9;19;33;55;-22;39
2021;Chelsea;4;38;19;10;9;58;36;22;67
2021;Crystal Palace;14;38;12;8;18;41;66;-25;44
2021;Everton;10;38;17;8;13;47;48;-1;59
2021;Fulham;18;38;5;13;20;27;53;-26;28
2021;Leeds United;9;38;18;5;15;62;54;8;59
2021;Leicester City;5;38;20;6;12;68;50;18;66
2021;Liverpool;3;38;20;9;9;68;42;26;69
2021;Manchester City;1;38;27;5;6;83;32;51;86
2021;Manchester Utd;2;38;21;11;6;73;44;29;74
2021;Newcastle Utd;12;38;12;9;17;46;62;-16;45
2021;Sheffield Utd;20;38;7;2;29;20;63;-43;23
2021;Southampton;15;38;12;7;19;47;68;-21;43
2021;Tottenham;7;38;18;8;12;68;45;23;62
2021;West Brom;19;38;5;11;22;35;76;-41;26
2021;West Ham;6;38;19;8;11;62;47;15;65
2021;Wolves;13;38;12;9;17;36;52;-16;45
2022;Arsenal;5;38;22;3;13;61;48;13;69
2022;Aston Villa;14;38;13;6;19;52;54;-2;45
2022;Brentford;13;38;13;7;18;48;56;-8;46
2022;Brighton;9;38;12;15;11;42;44;-2;51
2022;Burnley;18;38;7;14;17;34;53;-19;35
2022;Chelsea;3;38;21;11;6;76;33;43;74
2022;Crystal Palace;12;38;11;15;12;50;46;4;48
2022;Everton;16;38;11;6;21;43;66;-23;39
2022;Leeds United;17;38;9;11;18;42;79;-37;38
2022;Leicester City;8;38;14;10;14;62;59;3;52
2022;Liverpool;2;38;28;8;2;94;26;68;92
2022;Manchester City;1;38;29;6;3;99;26;73;93
2022;Manchester Utd;6;38;16;10;12;57;57;0;58
2022;Newcastle Utd;11;38;13;10;15;44;62;-18;49
2022;Norwich City;20;38;5;7;26;23;84;-61;22
2022;Southampton;15;38;9;13;16;43;67;-24;40
2022;Tottenham;4;38;22;5;11;69;40;29;71
2022;Watford;19;38;6;5;27;34;77;-43;23
2022;West Ham;7;38;16;8;14;60;51;9;56
2022;Wolves;10;38;15;6;17;38;43;-5;51
2023;Arsenal;2;38;26;6;6;88;43;45;84
2023;Aston Villa;7;38;18;7;13;51;46;5;61
2023;Bournemouth;15;38;11;6;21;37;71;-34;39
2023;Brentford;9;38;15;14;9;58;46;12;59
2023;Brighton;6;38;18;8;12;72;53;19;62
2023;Chelsea;12;38;11;11;16;38;47;-9;44
2023;Crystal Palace;11;38;11;12;15;40;49;-9;45
2023;Everton;17;38;8;12;18;34;57;-23;36
2023;Fulham;10;38;15;7;16;55;53;2;52
2023;Leeds United;19;38;7;10;21;48;78;-30;31
2023;Leicester City;18;38;9;7;22;51;68;-17;34
2023;Liverpool;5;38;19;10;9;75;47;28;67
2023;Manchester City;1;38;28;5;5;94;33;61;89
2023;Manchester Utd;3;38;23;6;9;58;43;15;75
2023;Newcastle Utd;4;38;19;14;5;68;33;35;71
2023;Nott'ham Forest;16;38;9;11;18;38;68;-30;38
2023;Southampton;20;38;6;7;25;36;73;-37;25
2023;Tottenham;8;38;18;6;14;70;63;7;60
2023;West Ham;14;38;11;7;20;42;55;-13;40
2023;Wolves;13;38;11;8;19;31;58;-27;41
